ID,Taxon,Family,WIn,FMo_Average
291,Fabriciana_auresiana,Nymphalidae,0.048,3
292,Boloria_eunomia,Nymphalidae,-0.003,3
293,Boloria_graeca,Nymphalidae,-0.016,4
294,Boloria_pales,Nymphalidae,-0.014,3
295,Boloria_napaea,Nymphalidae,-0.006,3
296,Boloria_aquilonaris,Nymphalidae,-0.019,2
297,Boloria_alaskensis,Nymphalidae,-0.004429082,2
298,Boloria_polaris,Nymphalidae,-0.001,2.5
299,Boloria_tritonia,Nymphalidae,0.026429857,2
300,Boloria_thore,Nymphalidae,0.003,2
301,Boloria_selene,Nymphalidae,-0.004,3.5
302,Boloria_euphrosyne,Nymphalidae,-0.001,4
303,Boloria_dia,Nymphalidae,-0.022,5.5
304,Boloria_improba,Nymphalidae,-0.026,2
305,Boloria_frigga,Nymphalidae,0.001,2
306,Boloria_freija,Nymphalidae,-0.006,2.5
307,Boloria_oscarus,Nymphalidae,0.015,3
308,Boloria_selenis,Nymphalidae,-0.001,3
309,Boloria_titania,Nymphalidae,0.004,3
310,Boloria_chariclea,Nymphalidae,-0.010,1.5
311,Boloria_angarensis,Nymphalidae,-0.00369442,2.5
312,Apatura_iris,Nymphalidae,0.106,2.5
313,Apatura_metis,Nymphalidae,0.069,4
314,Apatura_ilia,Nymphalidae,0.091,4.5
315,Araschnia_levana,Nymphalidae,-0.009,5
316,Vanessa_virginiensis,Nymphalidae,0.010,10
317,Vanessa_cardui,Nymphalidae,0.055,8
318,Vanessa_vulcania,Nymphalidae,0.064,12
319,Vanessa_atalanta,Nymphalidae,0.065,8.5
320,Aglais_io,Nymphalidae,0.061,7.5
321,Aglais_urticae,Nymphalidae,0.021,7
322,Aglais_ichnusa,Nymphalidae,0.032,8
323,Polygonia_egea,Nymphalidae,0.024,8.5
324,Polygonia_c-album,Nymphalidae,0.029,6
325,Nymphalis_vaualbum,Nymphalidae,0.075,3.5
326,Nymphalis_polychloros,Nymphalidae,0.069,6.5
327,Nymphalis_xanthomelas,Nymphalidae,0.074,4.5
328,Nymphalis_antiopa,Nymphalidae,0.106,5.5
329,Hypolimnas_misippus,Nymphalidae,0.117,9
330,Euphydryas_desfontainii,Nymphalidae,0.015,3
331,Euphydryas_aurinia,Nymphalidae,-0.004,3.5
332,Euphydryas_cynthia,Nymphalidae,-0.009,3
333,Euphydryas_iduna,Nymphalidae,-0.004,2
334,Euphydryas_maturna,Nymphalidae,0.002,2.5
335,Euphydryas_intermedia,Nymphalidae,0.001,3
336,Melitaea_trivia,Nymphalidae,-0.017,5
337,Melitaea_didyma,Nymphalidae,-0.005,5.5
338,Melitaea_deserticola,Nymphalidae,0.001,3
339,Melitaea_arduinna,Nymphalidae,0.016,3.5
340,Melitaea_aetherie,Nymphalidae,0.014,2.5
341,Melitaea_phoebe,Nymphalidae,0.013,4.5
342,Melitaea_ornata,Nymphalidae,0.004,4
343,Melitaea_cinxia,Nymphalidae,-0.003,4
344,Melitaea_diamina,Nymphalidae,-0.012,3.5
345,Melitaea_celadussa,Nymphalidae,-0.009,3
346,Melitaea_deione,Nymphalidae,-0.004,4.5
347,Melitaea_britomartis,Nymphalidae,-0.027,3
348,Melitaea_aurelia,Nymphalidae,-0.032,2
349,Melitaea_athalia,Nymphalidae,-0.004,3.5
350,Melitaea_varia,Nymphalidae,-0.026,3
